parameter,change,score,styles_score,technical_score,composition_score
brightness,-1.0,0.5648593260568864,0.5673645060000002,0.7283973933333348,0.3988160788373341
brightness,-0.8,0.5804093672155568,0.5905812264666664,0.741400815999998,0.4092460591800008
brightness,-0.6,0.5964327079208868,0.6160775380000011,0.7537532193333325,0.41946736642933413
brightness,-0.4,0.6114112629411088,0.6417684366666626,0.7645985373333309,0.42786681482333433
brightness,-0.2,0.624227379403775,0.6655757846666683,0.7734483926666678,0.43365796087799846
brightness,0.2,0.6219883033066677,0.6725744653333325,0.7705687001999967,0.4228217443866672
brightness,0.4,0.6088702538857818,0.6580422373333277,0.7599321433333317,0.40863638099066757
brightness,0.6,0.5945782723406663,0.6414544533333326,0.748017916666668,0.3942624470220005
brightness,0.8,0.5801590723164425,0.6240266117333353,0.7357225726666661,0.3807280325493321
brightness,1.0,0.5656717928302205,0.6063171833333344,0.7228514660000004,0.36784672915733535
contrast,-1.0,0.2396458546473327,0.2669391081133328,0.37530842473333137,0.07669003109533382
contrast,-0.8,0.42120396833844564,0.44647344493333463,0.5778786686666684,0.23925979141533327
contrast,-0.6,0.5391145033675536,0.5880592735333385,0.7006247319999969,0.3286595045693331
contrast,-0.4,0.5890211487633308,0.644055682666664,0.7448633033333301,0.37814446028999943
contrast,-0.2,0.6161663038084414,0.6713609446666673,0.7665614473333305,0.41057651942533113
contrast,0.2,0.6284216221848893,0.6706296006666701,0.7766243586666631,0.4380109072213342
contrast,0.4,0.6154880086733364,0.6411577466666663,0.7692911313333348,0.4360151480199989
contrast,0.6,0.5981671520391088,0.6075290559999993,0.7594721673333362,0.42750023278399996
contrast,0.8,0.5812733500811137,0.5770966400000023,0.7498719706666642,0.41685143957666526
contrast,1.0,0.5660324511033352,0.5512640364666666,0.7411309766666696,0.40570234017666573
defocus_blur,1.0,0.5784415806340018,0.6576196679999962,0.7155133386666676,0.3621917352353319
defocus_blur,2.0,0.5564343785888873,0.639298892666665,0.7015716673333311,0.32843257576666823
defocus_blur,3.0,0.536372830062223,0.6215477200000015,0.6958367660000021,0.29173400418666917
defocus_blur,4.0,0.526551082745997,0.6149665483999965,0.6900473880000011,0.27463931183799917
defocus_blur,5.0,0.5182272303253329,0.6133754273333362,0.6777215473333292,0.2635847163093324
exposure,-3.0,0.4731554255666651,0.5234581210666671,0.6367186066666655,0.2592895489666679
exposure,-2.4,0.5113981332422229,0.5572817953333339,0.6786483466666656,0.29826425772666765
exposure,-1.8,0.5456863176259981,0.5877026427333347,0.7146492863333325,0.3347070238113313
exposure,-1.2,0.5765336817122211,0.6178320311999993,0.7444541199999978,0.36731489393666805
exposure,-0.6,0.6035955465564431,0.6481515386666663,0.7642826626666631,0.3983524383360005
exposure,0.6,0.5954579698977751,0.634234060466664,0.7379943840000046,0.41414546522666645
exposure,1.2,0.5328373886777769,0.5589163386666675,0.6757704633333335,0.36382536403333243
exposure,1.8,0.46910763019622354,0.48764985233333197,0.6103556977799984,0.30931734047533266
exposure,2.4,0.40894864802666453,0.4210919737333338,0.5476708806666679,0.2580830896799993
exposure,3.0,0.3661582759399996,0.37632043586666863,0.504783407066665,0.21737098488666773
gaussian_noise,1.0,0.533218160146669,0.5615614854000007,0.678436956666667,0.35965603837333426
gaussian_noise,2.0,0.4964038768637781,0.5214620929333361,0.6359898018666658,0.33175973579133516
gaussian_noise,3.0,0.4592949710199984,0.48905878046666945,0.584993936266666,0.3038321963266658
gaussian_noise,4.0,0.4353391430822201,0.47075575826666877,0.5446924366666692,0.2905692343133334
gaussian_noise,5.0,0.4464837758644454,0.48390074942000005,0.548428598033334,0.307121980140001
hcrop,-5.0,0.6196530480333332,0.6800944780000019,0.7737435846666654,0.4051210814333355
hcrop,-4.0,0.6198350492282209,0.6792960299999982,0.7740591366666681,0.4061499810180012
hcrop,-3.0,0.6201709809664459,0.6793222213333338,0.7740800333333306,0.4071106882326685
hcrop,-2.0,0.620332229061998,0.6791712706666657,0.7741144899999994,0.40771092651933466
hcrop,-1.0,0.6202558085319998,0.6790563646666632,0.7742828480000032,0.4074282129293311
hcrop,1.0,0.6178154165562233,0.6764266699999998,0.7724748659999994,0.40454471366866596
hcrop,2.0,0.6171052680300015,0.6757188759999952,0.7717961713333321,0.4038007567566665
hcrop,3.0,0.6160338268351087,0.6745131193333309,0.7713786000000004,0.40220976117200097
hcrop,4.0,0.6146848237713334,0.673741566666664,0.7705486146666676,0.3997642899806676
hcrop,5.0,0.6129816481080006,0.6726817386666675,0.7692959039999997,0.39696730165733396
highlights,-100.0,0.6334129809177802,0.6840249626666652,0.7803185706666697,0.43589540942000193
highlights,-80.0,0.6358085969006634,0.6887277679999999,0.7819386086666662,0.4367594140353355
highlights,-60.0,0.6344862286168853,0.687652274666667,0.7806302493333307,0.4351761618506645
highlights,-40.0,0.6323380007440033,0.6846463853333332,0.7788008600000002,0.43356675689866897
highlights,-20.0,0.630505468547555,0.6820109539999955,0.7771622633333386,0.4323431883093326
highlights,0.0,0.6298049034835569,0.6809868126666666,0.7764960393333369,0.4319318584506667
highlights,20.0,0.6287543127406687,0.6793055973333318,0.7757993673333352,0.4311579735553309
