b, c, mean, std
1.8, 0.4, 5.780, 4.542
1.8, 0.6, 5.913, 4.429
1.8, 0.8, 5.957, 4.354
1.8, 1.0, 6.000, 4.249
1.8, 1.2, 5.988, 4.244
1.8, 1.4, 5.968, 4.274
1.8, 1.6, 5.974, 4.286
1.8, 1.8, 5.971, 4.302
1.8, 2.0, 5.961, 4.309
1.8, 2.2, 5.954, 4.318
1.8, 2.4, 5.952, 4.329
1.8, 2.6, 5.954, 4.338
1.8, 2.8, 5.954, 4.351
1.8, 3.0, 5.952, 4.363
2.0, 0.0, 4.911, 5.058
2.0, 0.2, 5.515, 4.634
2.0, 0.4, 5.800, 4.523
2.0, 0.6, 5.882, 4.446
2.0, 0.8, 5.942, 4.336
2.0, 1.0, 5.981, 4.234
2.0, 1.2, 5.979, 4.220
2.0, 1.4, 5.974, 4.248
2.0, 1.6, 5.974, 4.263
2.0, 1.8, 5.970, 4.275
2.0, 2.0, 5.961, 4.293
2.0, 2.2, 5.956, 4.307
2.0, 2.4, 5.952, 4.324
2.0, 2.6, 5.945, 4.349
2.0, 2.8, 5.939, 4.366
2.0, 3.0, 5.932, 4.379
2.2, 0.0, 4.910, 5.062
2.2, 0.2, 5.518, 4.634
2.2, 0.4, 5.767, 4.543
2.2, 0.6, 5.851, 4.453
2.2, 0.8, 5.923, 4.318
2.2, 1.0, 5.973, 4.214
2.2, 1.2, 5.976, 4.204
2.2, 1.4, 5.965, 4.237
2.2, 1.6, 5.968, 4.243
2.2, 1.8, 5.967, 4.266
2.2, 2.0, 5.954, 4.295
2.2, 2.2, 5.947, 4.317
2.2, 2.4, 5.937, 4.340
2.2, 2.6, 5.927, 4.358
2.2, 2.8, 5.921, 4.372
2.2, 3.0, 5.915, 4.381
2.4, 0.0, 4.910, 5.065
2.4, 0.2, 5.526, 4.639
2.4, 0.4, 5.733, 4.573
2.4, 0.6, 5.832, 4.436
2.4, 0.8, 5.899, 4.308
2.4, 1.0, 5.967, 4.206
2.4, 1.2, 5.967, 4.197
2.4, 1.4, 5.960, 4.221
2.4, 1.6, 5.961, 4.238
2.4, 1.8, 5.956, 4.272
2.4, 2.0, 5.939, 4.310
2.4, 2.2, 5.927, 4.328
2.4, 2.4, 5.919, 4.344
2.4, 2.6, 5.909, 4.360
2.4, 2.8, 5.903, 4.372
2.4, 3.0, 5.891, 4.382
2.6, 0.0, 4.908, 5.071
2.6, 0.2, 5.530, 4.645
2.6, 0.4, 5.698, 4.585
2.6, 0.6, 5.803, 4.427
2.6, 0.8, 5.886, 4.306
2.6, 1.0, 5.954, 4.214
2.6, 1.2, 5.958, 4.197
2.6, 1.4, 5.953, 4.215
2.6, 1.6, 5.953, 4.237
2.6, 1.8, 5.939, 4.282
2.6, 2.0, 5.917, 4.322
2.6, 2.2, 5.909, 4.328
2.6, 2.4, 5.900, 4.340
2.6, 2.6, 5.889, 4.356
2.6, 2.8, 5.877, 4.372
2.6, 3.0, 5.865, 4.380
2.8, 0.0, 4.908, 5.085
2.8, 0.2, 5.544, 4.649
2.8, 0.4, 5.667, 4.583
2.8, 0.6, 5.778, 4.416
2.8, 0.8, 5.868, 4.316
2.8, 1.0, 5.940, 4.225
2.8, 1.2, 5.949, 4.193
2.8, 1.4, 5.944, 4.212
2.8, 1.6, 5.939, 4.237
2.8, 1.8, 5.922, 4.277
2.8, 2.0, 5.905, 4.311
2.8, 2.2, 5.893, 4.320
2.8, 2.4, 5.880, 4.332
2.8, 2.6, 5.868, 4.351
2.8, 2.8, 5.853, 4.371
2.8, 3.0, 5.845, 4.379
3.0, 0.0, 4.912, 5.103
3.0, 0.2, 5.519, 4.638
3.0, 0.4, 5.634, 4.563
3.0, 0.6, 5.756, 4.414
3.0, 0.8, 5.848, 4.332
3.0, 1.0, 5.915, 4.244
3.0, 1.2, 5.932, 4.203
3.0, 1.4, 5.927, 4.211
3.0, 1.6, 5.925, 4.231
3.0, 1.8, 5.909, 4.266
3.0, 2.0, 5.890, 4.296
3.0, 2.2, 5.879, 4.311
3.0, 2.4, 5.865, 4.320
3.0, 2.6, 5.851, 4.341
3.0, 2.8, 5.839, 4.362
3.0, 3.0, 5.827, 4.377
