change, mean, std
-1.0, 5.124, 4.386
-0.8, 5.138, 4.362
-0.6, 5.120, 4.368
-0.4, 5.104, 4.399
-0.2, 5.076, 4.412
0.0, 5.078, 4.465
0.2, 5.105, 4.451
0.4, 5.171, 4.440
0.6, 5.176, 4.419
0.8, 5.222, 4.435
1.0, 5.213, 4.449
