change, mean, std
-1.0, 4.936, 5.059
-0.8, 4.795, 4.967
-0.6, 4.717, 4.851
-0.4, 5.007, 4.608
-0.2, 5.240, 4.671
0.0, 5.078, 4.465
0.2, 4.979, 4.404
0.4, 4.820, 4.519
0.6, 4.672, 4.748
0.8, 4.804, 5.009
1.0, 5.170, 5.469
