contrast,pos,(-0.5021485714285607, 0.1289966056365347)
contrast,neg,(-0.9479200000000697, 0.021068364625850333)
brightness,pos,(-0.9444190476190651, 0.024429773372206153)
brightness,neg,(-0.43856380952380625, 0.1274998826044647)
saturation,pos,(-0.5916212722037266, 0.16625334064210784)
saturation,neg,(0.058804763450937714, 0.3211435017212662)
shadows,pos,(-0.50161214143355, 0.28074289730736296)
shadows,neg,(-0.16745392942962697, 0.23206728609682556)
highlights,pos,(-0.3434740304223897, 0.21245094659039546)
highlights,neg,(-0.3075483496509233, 0.39584267385552935)
exposure,pos,(-0.7265080149802122, 0.15157464945880525)
exposure,neg,(-0.907443809523862, 0.046451112925169284)
vibrance,pos,(-0.5340869792221224, 0.3200266650937961)
vibrance,neg,(-0.6739829374727071, 0.4177555555555915)
temperature,pos,(-0.02745696969696971, 0.1385577807652074)
temperature,neg,(-0.7679266666666302, 0.143299051521363)
tint,pos,(-0.1289371428571465, 0.3530763039844815)
tint,neg,(-0.6485441851303284, 0.1465828229904243)
jpeg_compression,pos,(-0.655459047619067, 0.24069671992225328)
defocus_blur,pos,(-0.10251047619048484, 0.608138262390699)
motion_blur,pos,(0.04219047619047663, 0.5372833399417096)
pixelate,pos,(-0.31137523809526346, 0.5231659475219363)
gaussian_noise,pos,(0.29218666666669285, 0.49110516618080996)
impulse_noise,pos,(-0.4018666666666532, 0.47647298114677117)
rotate,pos,(0.5871428571428339, 0.2547832723032054)
rotate,neg,(0.5886819047618803, 0.25310410262390526)
hcrop,pos,(-0.021352380952380914, 0.39800006841595315)
hcrop,neg,(-0.015813333333333318, 0.3991759611273241)
vcrop,pos,(-0.04342476190476171, 0.36812816482022986)
vcrop,neg,(-0.016803809523809467, 0.3709563055393705)
leftcornerscrop,pos,(-0.04688000000000001, 0.3656807587949616)
leftcornerscrop,neg,(-0.025093333333333256, 0.36447114013606713)
rightcornerscrop,pos,(-0.050739047619047635, 0.36298228493684387)
rightcornerscrop,neg,(-0.02779047619047615, 0.3650451591836852)
ratio,pos,(-0.5679123809523755, 0.2578844641399452)
ratio,neg,(-0.6486400000000193, 0.19431110592808448)
