contrast,pos,(0.11066666666666634, 0.16127011078716655)
contrast,neg,(-0.5464761904761822, 0.16202957434401793)
brightness,pos,(-0.34158095238094993, 0.13725210495626064)
brightness,neg,(-0.13253333333333178, 0.16426554402331955)
saturation,pos,(0.1684668573226226, 0.14186049192033648)
saturation,neg,(-0.698919784290275, 0.111602224667164)
shadows,pos,(-0.14004339990290215, 0.27650722471163175)
shadows,neg,(0.10226152340759763, 0.1838692223295514)
highlights,pos,(-0.12190104689561888, 0.19555786490225968)
highlights,neg,(-0.013774100142943897, 0.27000141644418774)
exposure,pos,(-0.49566215726668494, 0.20621783299959287)
exposure,neg,(0.15547428571428548, 0.22972108688047072)
vibrance,pos,(-0.14312528929551732, 0.2686819149606375)
vibrance,neg,(-0.05735657828642228, 0.4409777777778214)
temperature,pos,(0.5664682295014205, 0.06785892717659854)
temperature,neg,(0.28969333333333785, 0.3822948204773489)
tint,pos,(0.42438095238094725, 0.14576069659863342)
tint,neg,(0.37966581417904427, 0.179483351026742)
jpeg_compression,pos,(-0.5802933333333281, 0.18619146511175477)
defocus_blur,pos,(-0.9522133333333772, 0.021466162876579056)
motion_blur,pos,(-0.7508419047619481, 0.12107723692904618)
pixelate,pos,(-0.8811009523810421, 0.04435723381924109)
gaussian_noise,pos,(-0.526198095238077, 0.23989173799805713)
impulse_noise,pos,(-0.20428190476190095, 0.47751842021382973)
rotate,pos,(-0.47169904761903386, 0.24807595102040686)
rotate,neg,(-0.5807085714285622, 0.1966788229348843)
hcrop,pos,(-0.009947904031433513, 0.3318906096681797)
hcrop,neg,(-0.015226666666666576, 0.33132001088436386)
vcrop,pos,(-0.006590476190476163, 0.32524275374150513)
vcrop,neg,(-0.026986666666666558, 0.32455014188533343)
leftcornerscrop,pos,(-0.02133714285714282, 0.3180206118561772)
leftcornerscrop,neg,(-0.03035809523809512, 0.3245463634596769)
rightcornerscrop,pos,(-0.014190476190476175, 0.32165919844510027)
rightcornerscrop,neg,(-0.02988952380952366, 0.3203563724003978)
ratio,pos,(-0.5180304761904582, 0.16271396073857405)
ratio,neg,(0.32779047619047336, 0.16766404664722373)
